genre,korean,english
fantasy,4. 숲을 지나는 길,CHAPTER IV.—The Road Through the Forest.
fantasy,5. 양철나무꾼을 구하다,CHAPTER V.—The Rescue of the Tin Woodman.
fantasy,6. 겁쟁이 사자,CHAPTER VI.—The Cowardly Lion.
fantasy,7. 위대한 오즈에게 가는 여행,CHAPTER VII.—The Journey to The Great Oz.
fantasy,8. 죽음의 양귀비 꽃밭,CHAPTER VIII.—The Deadly Poppy Field.
fantasy,9. 들쥐 여왕,CHAPTER IX.—The Queen of the Field Mice.
fantasy,10. 성문의 수문장,CHAPTER X.—The Guardian of the Gates.
fantasy,11. 오즈의 신비한 도시,CHAPTER XI.—The Wonderful Emerald City of Oz.
fantasy,12. 악한 마녀를 찾아서,CHAPTER XII.—The Search for the Wicked Witch.
fantasy,13. 구출,CHAPTER XIII.—How the Four were Reunited.
fantasy,14. 날개 달린 원숭이들,CHAPTER XIV.—The Winged Monkeys.
fantasy,"15. 무시무시한 오즈, 들통나다",CHAPTER XV.—The Discovery of Oz the Terrible.
fantasy,16. 위대한 사기꾼의 마술,CHAPTER XVI.—The Magic Art of the Great Humbug.
fantasy,17. 어떻게 기구를 띄웠는가,CHAPTER XVII.—How the Balloon was Launched.
fantasy,18. 남쪽으로,CHAPTER XVIII.—Away to the South.
fantasy,19. 나무들의 공격,CHAPTER XIX.—Attacked by the Fighting Trees.
fantasy,20. 앙증맞은 도자기 나라,CHAPTER XX.—The Dainty China Country.
fantasy,"21. 사자, 동물의 왕이 되다",CHAPTER XXI.—The Lion Becomes the King of Beasts.
fantasy,22. 쿼들링의 나라,CHAPTER XXII.—The Country of the Quadlings.
fantasy,"23. 착한 마녀 글린다, 도로시의 소원을 들어주다",CHAPTER XXIII.—The Good Witch grants Dorothy's Wish.
fantasy,24. 집으로,CHAPTER XXIV.—Home Again.
fantasy,제1장 회오리바람,CHAPTER I.—The Cyclone.
fantasy,"도로시는 농부인 헨리 아저씨와 농부의 아내인 엠 아줌마와 함께 캔사스 중부의 대평원에 살고 있었다. 그들의 집은 작았고, 마차로 수 마일을 옮겨온 목재로 지어진 것이었다. 4개의 벽, 마루와 지붕이 하나의 방을 이루고 있다. 이 방에는 녹슨 요리용 스토브와 그릇들이 놓여진 선반 하나, 테이블 하나, 서너개의 의자, 그리고 침대들이 있었다. 헨리 아저씨와 엠 아주머니는 한쪽 구석의 큰 침대를 사용했고, 도로시는 다른 구석에 있는 작은 침대를 썼다. 다락방이나 지하실은 전혀 없었고, 바닥에는 지나가는 길에 있는 모든 건물을 부셔버리는 커다한 회오리 바람이 일어났을 때 온 가족이 피하기 위해 대피실로 쓰는 작은 구멍이 있었다. 바닥의 작은 문을 열고 사다리를 통해 작고 어두운 구멍으로 내려가면 되었다.","Dorothy LIVED IN the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmer's wife. Their house was small, for the lumber to build it had to be carried by wagon many miles. There were four walls, a floor and a roof, which made one room; and this room contained a rusty looking cooking stove, a cupboard for the dishes, a table, three or four chairs, and the beds. Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner. There was no garret at all, and no cellar—except a small hole, dug in the ground, called a cyclone cellar, where the family could go in case one of those great whirlwinds arose, mighty enough to crush any building in its path. It was reached by a trap-door in the middle of the floor, from which a ladder led down into the small, dark hole."
fantasy,"도로시는 문가에 서서 주위를 둘러보았지만 사방으로 회색빛의 대평원 외에는 보이는 게 없었다. 모든 방향으로 넓고 길게 펼쳐진 하늘과 땅이 맞닿아 있었고, 이 풍경을 깨뜨리는 나무나 집 한채 보이지 않았다. 태양은 회색빛 무게로 경작지들을 굽고 있었다. 보이는 모든 곳이 똑같은 회색빛이 될 때까지 태양은 기다란 풀잎의 끝을 불태워버려 풀들 조차도 푸르지 않았다. 그 집은 언젠가 한 번 페인트 칠이 된 적이 있었지만, 태양은 페인트를 들뜨게 만들었고 빗물은 그것을 벗겨내 갔기 때문에 지금 그 집도 우중충한 회색빛일 뿐이었다.","When Dorothy stood in the doorway and looked around, she could see nothing but the great gray prairie on every side. Not a tree nor a house broke the broad sweep of flat country that reached the edge of the sky in all directions. The sun had baked the plowed land into a gray mass, with little cracks running through it. Even the grass was not green, for the sun had burned the tops of the long blades until they were the same gray color to be seen everywhere. Once the house had been painted, but the sun blistered the paint and the rains washed it away, and now the house was as dull and gray as everything else."
fantasy,"엠 아줌마가 이곳에 살려고 왔을 때 그녀는 젋고 예쁜 아내였다. 하지만 태양과 바람은 그녀 역시 바꿔놓았다. 그녀의 반짝거리는 눈빛을 가져가고 수수한 회색빛을 남겨놓았고, 그녀의 볼과 입술의 붉은 빛을 역시 회색으로 바꿔놓았다. 그녀는 아주 수척했고 지금까지 결코 미소 지은 적도 없었다. 고아였던 도로시가 처음 왔을 때 엠 아줌마는 이 아이의 웃음 소리에 무척 놀랐었다. 그래서 도로시의 명랑한 목소리가 그녀 귀에 들릴 때마다 깜짝 놀라 비명을 지르며 손을 가슴에 얹고는 그 조그만 소녀가 더 웃음을 터뜨릴까봐 계속 쳐다보곤 했다.","When Aunt Em came there to live she was a young, pretty wife. The sun and wind had changed her, too. They had taken the sparkle from her eyes and left them a sober gray; they had taken the red from her cheeks and lips, and they were gray also. She was thin and gaunt, and never smiled, now. When Dorothy, who was an orphan, first came to her, Aunt Em had been so startled by the child's laughter that she would scream and press her hand upon her heart whenever Dorothy's merry voice reached her ears; and she still looked at the little girl with wonder that she could find anything to laugh at."
fantasy,"""그녀는 토토의 귀를 잡았다.""","""She caught Toto by the ear."""
fantasy,"헨리 아저씨도 웃음이 없었다. 아침부터 밤까지 힘들게 일하면서 즐거움을 전혀 몰랐다. 그 또한 긴 수염부터 낡은 장화에 이르기까지 회색빛이었다. 그는 엄격하고 엄숙했고, 말도 거의 하지 않았다.","Uncle Henry never laughed. He worked hard from morning till night and did not know what joy was. He was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke."
fantasy,도로시를 웃음짓게 만들고 그녀 주변의 것들처럼 회색빛으로 변해가는 것을 막아준 것은 바로 토토였다. 토토는 회색빛이 아니었다. 토토는 긴 은빛 털과 그의 재미나게 생긴 아주 조그만 코 옆에서 명랑하게 반짝거리는 작고 검은 눈을 가진 조그만 검은색 강아지였다. 토토는 도로시와 함께 온종일 뛰어다니며 놀았기 때문에 그녀는 토토를 아주아주 사랑했다.,"It was Toto that made Dorothy laugh, and saved her from growing as gray as her other surroundings. Toto was not gray; he was a little black dog, with long, silky hair and small black eyes that twinkled merrily on either side of his funny, wee nose. Toto played all day long, and Dorothy played with him, and loved him dearly."
fantasy,하지만 오늘 그들은 함께 놀지 못했다. 헨리 아저씨가 문가에 앉아 평소보다 더 회색빛을 띄는 하늘을 걱정스럽게 살피고 있었다. 도로시도 역시 토토를 팔에 안고 문가에 서서 함께 하늘을 쳐다보았다. 엠 아줌마는 설거지를 하는 중이었다.,"To-day, however, they were not playing. Uncle Henry sat upon the door-step and looked anxiously at the sky, which was even grayer than usual. Dorothy stood in the door with Toto in her arms, and looked at the sky too. Aunt Em was washing the dishes."
fantasy,"저 멀리 북쪽에서부터 들려오는 바람의 낮은 흐느낌과 함께 헨리 아저씨와 도로시는 풀들이 몸을 낮게 숙이고 물결치는 것을 보았다. 남쪽으로부터는 날카로운 휘파람 소리를 내며 바람이 불었고, 그들이 그쪽으로 눈길을 돌리자 그 방향에서도 역시 풀들이 물결치는 것을 볼 수 있었다.","From the far north they heard a low wail on the wind, and Uncle Henry and Dorothy could see where the long grass bowed in waves before the coming storm. There now came a sharp whistling in the air from the south, and as they turned their eyes that way they saw ripples in the grass coming from that direction also."
fantasy,갑자기 헨리 아저씨가 일어섰다.,Suddenly Uncle Henry stood up.
fantasy,"“엠, 회오리바람이 오고 있어. 난 잠깐 가축들을 보고 올게.”
그리고는 바로 소와 말이 있는 헛간을 향해 달려갔다.","""There's a cyclone coming, Em,"" he called to his wife; ""I'll go look after the stock."" Then he ran toward the sheds where the cows and horses were kept."
fantasy,엠 아줌나는 하던 일을 멈추고 문가로 나왔다. 그녀는 한눈에 위험이 눈앞에 왔다는 것을 알았다. 그녀는 소리쳤다.,Aunt Em dropped her work and came to the door. One glance told her of the danger close at hand.
fantasy,"“빨리, 도로시, 지하실로 달려가!”","""Quick, Dorothy!"" she screamed; ""run for the cellar!"""
fantasy,"그러자 토토가 도로시의 팔에서 뛰쳐나와 침대 밑에 숨었고, 도로시는 토토를 잡으러 쫓아갔다. 몹시 놀란 엠 아줌마는 바닥에 있는 문을 열고 작고 어두운 구멍 속으로 사다리를 내려갔다. 도로시는 마침내 토토를 잡아 아줌마를 따라 가기 시작했다. 도로시가 방을 반쯤 가로질러 갈 때 바람이 내는 커다란 비명소리가 들렸고, 집이 심하게 흔들려서 발을 헛디디며 바닥에 주저앉게 되었다.","Toto jumped out of Dorothy's arms and hid under the bed, and the girl started to get him. Aunt Em, badly frightened, threw open the trap-door in the floor and climbed down the ladder into the small, dark hole. Dorothy caught Toto at last, and started to follow her aunt. When she was half way across the room there came a great shriek from the wind, and the house shook so hard that she lost her footing and sat down suddenly upon the floor."
fantasy,그 때 이상한 일이 벌어졌다. 집이 두 세번 빙그르르 돌더니 공중으로 천천히 올라가기 시작했다. 도로시는 풍선을 타고 올라가는 것처럼 느껴졌다.,"A strange thing then happened.
The house whirled around two or three times and rose slowly through the air. Dorothy felt as if she were going up in a balloon."
fantasy,"북쪽과 남쪽에서 불어온 바람이 집이 서있던 자리에서 만나 정확히 회오리의 중심을 만든 것이었다. 회오리바람의 중심은 고요했으나, 사방에서 몰려오는 바람의 엄청난 압력으로 인해 집은 회오리바람의 꼭대기까지 더욱더 높이 솟아 올랐다. 도로시의 집은 회오리바람의 꼭대기에 머물면서 마치 깃털이 날아가듯이 멀리, 점점 더 멀리 날아갔다.","The north and south winds met where the house stood, and made it the exact center of the cyclone. In the middle of a cyclone the air is generally still, but the great pressure of the wind on every side of the house raised it up higher and higher, until it was at the very top of the cyclone; and there it remained and was carried miles and miles away as easily as you could carry a feather."
fantasy,"매우 어두웠고, 바람이 주위에서 끔찍하게 울부짖었지만 도로시는 자신이 제법 잘 버티고 있다는 것을 알았다. 처음에 있었던 몇 번의 회전과 그 다음 몇 번의 기우뚱거림 후에 도로시는 아기가 요람에서 흔들리듯이 자신이 부드럽게 흔들리고 있음을 느꼈다.","It was very dark, and the wind howled horribly around her, but Dorothy found she was riding quite easily. After the first few whirls around, and one other time when the house tipped badly, she felt as if she were being rocked gently, like a baby in a cradle."
fantasy,토토는 그것을 좋아하지 않았다. 그는 방을 여기 저기 돌아다니며 시끄럽게 짖어댔다. 하지만 도로시는 바닥에 가만히 앉아서 무슨 일이 일어날지 조용히 기다렸다.,"Toto did not like it. He ran about the room, now here, now there, barking loudly; but Dorothy sat quite still on the floor and waited to see what would happen."
fantasy,토토가 지하실문에 너무 가까이 다가갔다가 그만 떨어지고 말았다. 작은 소녀는 토토를 잃었다는 생각이 들었지만 곧 토토의 한쪽 귀가 지하실 구멍 위로 불쑥 튀어나온 것을 보았다. 엄청난 공기의 압력이 그를 들어올려 떨어지지 않도록 한 것이다. 도로시는 지하실 구멍쪽으로 살금살금 기어가 토토의 귀를 붙잡아 방안으로 끌어올린 후 더이상 그런 일이 생기지 않도록 바닥의 문을 닫아버렸다.,"Once Toto got too near the open trap-door, and fell in; and at first the little girl thought she had lost him. But soon she saw one of his ears sticking up through the hole, for the strong pressure of the air was keeping him up so that he could not fall. She crept to the hole, caught Toto by the ear, and dragged him into the room again; afterward closing the trap-door so that no more accidents could happen."
fantasy,"시간이 점점 흘러가면서 도로시는 천천히 두려움을 이겨내고 있었지만, 큰 외로움을 느꼈고, 바람은 귀가 먹을 정도로 크게 도로시를 향해 비명을 질러대고 있었다. 처음에 도로시는 집이 다시 땅에 떨어지면 자기도 산산조각이 나지 않을까 생각했다. 하지만 시간이 지나고 끔찍한 일이 더이상 일어나지 않자 도로시는 걱정하는 것을 멈추고 조용히 기다리면서 다음에 무슨 일이 일어날지 지켜보기로 결심했다. 도로시는 자신의 침대를 향해 흔들거리는 바닥을 기어가서 거기에 누웠고, 토토도 도로시를 쫓아와서 그녀 옆에 같이 누웠다.","Hour after hour passed away, and slowly Dorothy got over her fright; but she felt quite lonely, and the wind shrieked so loudly all about her that she nearly became deaf. At first she had wondered if she would be dashed to pieces when the house fell again; but as the hours passed and nothing terrible happened, she stopped worrying and resolved to wait calmly and see what the future would bring. At last she crawled over the swaying floor to her bed, and lay down upon it; and Toto followed and lay down beside her."
fantasy,집이 흔들거리고 바람은 소리치고 있었지만 도로시는 곧 눈을 감고 잠이 들었다.,"In spite of the swaying of the house and the wailing of the wind, Dorothy soon closed her eyes and fell fast asleep."
fantasy,제2장 먼치킨들과의 만남,CHAPTER II.—The Council with The Munchkins.
fantasy,"도로시는 급작스럽고 위험한 충격때문에 잠에서 깼다. 만약 도로시가 폭신한 침대에 누워있지 않았다면 크게 위험했을 것이다. 그 충격으로 도로시는 숨이 턱 막혔고, 무슨 일이 일어났는지 궁금했다. 토토는 차가운 작은 코를 도로시의 얼굴에 파묻고 기분 나쁘게 낑낑거렸다. 도로시는 일어나 앉은 후 집이 더이상 움직이지 않음을 알아챘다. 창문을 통해 들어와 작은 방을 가득 채운 밝은 햇살 때문에 더이상 어둡지 않았다. 도로시는 침대에서 벌떡 일어나 발꿈치에 있는 토토와 함께 열려있는 문을 향해 뛰었다.","SHE WAS AWAKENED by a shock, so sudden and severe that if Dorothy had not been lying on the soft bed she might have been hurt. As it was, the jar made her catch her breath and wonder what had happened; and Toto put his cold little nose into her face and whined dismally. Dorothy sat up and noticed that the house was not moving; nor was it dark, for the bright sunshine came in at the window, flooding the little room. She sprang from her bed and with Toto at her heels ran and opened the door."
fantasy,이 작은 소녀는 놀라움에 비명을 지르며 여기저기를 둘러보았다. 그녀의 눈동자는 경이로운 광경으로 인해 점점더 커졌다.,"The little girl gave a cry of amazement and looked about her, her eyes growing bigger and bigger at the wonderful sights she saw."
fantasy,"회오리바람은 도로시의 집을 신기할 정도로 아름다운 땅에 아주 부드럽게 (회오리바람이라는 걸 고려하면) 내려놓은 것이다. 그곳에는 풍성하고 달콤한 열매를 가진 우람한 나무들과 멋진 잔디밭이 펼쳐져 있었다. 아주 아름답고 멋진 꽃밭이 사방에 있었고, 희귀하고 화려한 깃털을 가진 새들이 노래하며 나무와 덤불 사이를 날아다니고 있었다. 조금 떨어진 곳에서는 초록빛 둑 사이로 반짝이는 작은 시냇물이 흘러가면서 건조한 회색빛 대평원에 오랜동안 살아온 작은 소녀에게 아주 기꺼운 목소리로 속삭여 주었다.","The cyclone had set the house down, very gently—for a cyclone—in the midst of a country of marvelous beauty. There were lovely patches of green sward all about, with stately trees bearing rich and luscious fruits. Banks of gorgeous flowers were on every hand, and birds with rare and brilliant plumage sang and fluttered in the trees and bushes. A little way off was a small brook, rushing and sparkling along between green banks, and murmuring in a voice very grateful to a little girl who had lived so long on the dry, gray prairies."
fantasy,"낯설지만 아름다운 풍경을 열심히 살펴보고 서있는 중에 도로시는 전에 한번도 본 적이 없는 기묘하게 생긴 사람들이 다가오고 있을을 알게 되었다. 그들은 도로시가 평소에 보던 어른들만큼 크지는 않았지만, 그렇다고 아주 작지도 않았다. 사실 그들은 그 나이대의 아이들 중 키가 큰 편인 도로시의 키 정도 되어 보였지만 나이는 더 많이 들어 보였다.","While she stood looking eagerly at the strange and beautiful sights, she noticed coming toward her a group of the queerest people she had ever seen. They were not as big as the grown folk she had always been used to; but neither were they very small. In fact, they seemed about as tall as Dorothy, who was a well-grown child for her age, although they were, so far as looks go, many years older."
fantasy,"그들은 이상하게 옷을 입은 세 명의 남자와 한 명의 여자였다. 그들은 머리에서 1피트 정도 위로 뾰족하게 올라간 모자를 쓰고 있었는데, 모자 챙에는 작은 방울들이 달려있어서 그들이 움직일때마다 예쁘게 딸랑거리는 소리가 났다. 남자들의 모자는 파란색이었고, 여자는 하얀색 모자와 함께 어깨부터 주름이 늘어져 있는 하얀 가운을 입고 있었다. 그 옷에는 작은 별들이 뿌려져 있어서 햇빛에 다이아몬드처럼 반짝였다. 남자들은 모자와 같은 색인 파란 옷을 입었고 역시 파란색의 잘 닦여 반짝거리는 부츠를 신고 있었다. 도로시가 생각하기에 남자들은 헨리 아저씨 정도의 나이였고, 그 중 두 명은 수염을 기르고 있었다. 하지만 조그만 여자는 의심할 여지가 없이 더 나이들어 보였다. 그녀의 얼굴에는 주름살이 가득했고, 머리칼은 거의 흰색이었으며, 좀 뻣뻣하게 걸었다.","Three were men and one a woman, and all were oddly dressed. They wore round hats that rose to a small point a foot above their heads, with little bells around the brims that tinkled sweetly as they moved. The hats of the men were blue; the little woman's hat was white, and she wore a white gown that hung in plaits from her shoulders; over it were sprinkled little stars that glistened in the sun like diamonds. The men were dressed in blue, of the same shade as their hats, and wore well polished boots with a deep roll of blue at the tops. The men, Dorothy thought, were about as old as Uncle Henry, for two of them had beards. But the little woman was doubtless much older: her face was covered with wrinkles, her hair was nearly white, and she walked rather stiffly."
fantasy,"""나는 북쪽 마녀에요.”""","""I am the Witch of the North."""
fantasy,그들이 집 가까이 다가왔을 때 도로시는 문가에 서 있었다. 그들은 걸음을 멈추더니 더 다가오기가 겁이 나는 듯이 서로 속삭였다. 하지만 조그만 노파는 도로시에게 곧장 걸어와서 깍듯이 인사를 하고는 달콤한 목소리로 말했다.,"When these people drew near the house where Dorothy was standing in the doorway, they paused and whispered among themselves, as if afraid to come farther. But the little old woman walked up to Dorothy, made a low bow and said, in a sweet voice,"
fantasy,"“가장 고귀한 마법사여, 먼치킨들의 나라에 오신 것을 환영합니다. 저희는 동쪽의 악한 마녀를 죽이고 우리를 속박에서 자유케 해주신 당신께 진심으로 감사를 드립니다.”","""You are welcome, most noble Sorceress, to the land of the Munchkins. We are so grateful to you for having killed the wicked Witch of the East, and for setting our people free from bondage."""
fantasy,"도로시는 이 말을 들으면서 이상한 생각이 들었다. 저 작은 여인이 자기를 마법사라고 부르고, 동쪽의 악한 마녀를 죽였다고 하는 게 진심은 아니겠지? 도로시는 회오리바람에 의해 집에서 수 마일을 옮겨진 아무 잘못도 없고 해로울 것이 없는 작은 소녀였다. 그리고 그녀는 이제까지 한 번도 무엇을 죽여본 적이 없었다. 하지만 그 여자는 분명하게 도로시의 대답을 기다리고 있었다. 그래서 도로시는 주저하면서 말했다.","Dorothy listened to this speech with wonder. What could the little woman possibly mean by calling her a sorceress, and saying she had killed the wicked Witch of the East? Dorothy was an innocent, harmless little girl, who had been carried by a cyclone many miles from home; and she had never killed anything in all her life.
But the little woman evidently expected her to answer; so Dorothy said, with hesitation,"
fantasy,"“친절히 대해 주셔서 감사합니다, 하지만 뭔가 오해가 있는거 같아요. 난 아무 것도 죽이지 않았어요.”
조그만 여인이 웃으며 대답했다.
“당신의 집이 그랬지만 어쨌든 같은 거죠. 보세요.”
그녀는 집의 한 모퉁이를 가리키며 계속해서 말했다.
“저기 나무 기둥 아래로 악한 마녀의 두 발이 튀어나와 있네요.”","""You are very kind; but there must be some mistake. I have not killed anything.""
""Your house did, anyway,"" replied the little old woman, with a laugh; ""and that is the same thing. See!"" she continued, pointing to the corner of the house; ""there are her toes sticking out from under a block of wood."""
fantasy,"도로시는 그것을 보고 깜짝 놀라서 작은 비명을 질렀다. 거기에는, 정말로, 집 모퉁이의 커다란 기둥 밑에 끝이 뾰족한 은색 구두를 신은 두 발이 불쑥 튀어나와 있었다.","Dorothy looked, and gave a little cry of fright. There, indeed, just under the corner of the great beam the house rested on, two feet were sticking out, shod in silver shoes with pointed toes."
fantasy,"“어머나, 어머나!”
도로시는 당황하여 두 손을 마주 잡고 소리쳤다.
“집이 그녀 위에 떨어졌나봐요. 우린 어쩌죠?”
“아무 것도 하지 않아도 돼요.” 라고 그 작은 여인은 조용히 말했다.
도로시가 물었다.
“하지만 그녀는 누구인가요?”
작은 여인이 대답했다.","""Oh, dear! oh, dear!"" cried Dorothy, clasping her hands together in dismay; ""the house must have fallen on her. What ever shall we do?""
""There is nothing to be done,"" said the little woman, calmly.
""But who was she?"" asked Dorothy."
fantasy,"“그녀는 내가 말했듯이 동쪽의 악한 마녀에요. 그녀는 오랫동안 모든 먼치킨들을 속박하고 밤낮으로 일하는 노예로 부려먹었어요. 이제 그들은 모두 자유가 됐고, 그래서 당신이 하신 일에 감사드려요.”
도로시가 물었다.
“먼치킨은 누구인가요?”","""She was the wicked Witch the East, as I said,"" answered the little woman. ""She has held all the Munchkins in bondage for many years, making them slave for her night and day. Now they are all set free, and are grateful to you for the favour.""
""Who are the Munchkins?"" enquired Dorothy."
fantasy,“그들은 악한 마녀가 다스리던 동쪽 땅에 사는 사람들이에요.”,"""They are the people who live in this land of the East, where the wicked Witch ruled."""
fantasy,“당신도 먼치킨인가요?” 도로시가 물었다.,"""Are you a Munchkin?"" asked Dorothy."
fantasy,"“아니요, 나는 그들의 친구에요, 비록 북쪽 땅에 살고 있지만. 동쪽 마녀가 죽은 것을 본 먼치킨들이 재빠른 메신저를 저에게 보내서 즉시 온 것이죠. 나는 북쪽 마녀에요.”","""No; but I am their friend, although I live in the land of the North. When they saw the Witch of the East was dead the Munchkins sent a swift messenger to me, and I came at once. I am the Witch of the North."""
fantasy,"도로시는 소리쳤다.
“오, 이럴수가. 당신 진짜 마녀에요?”","""Oh, gracious!"" cried Dorothy; ""are you a real witch?"""
fantasy,"작은 여인이 대답했다.
“네, 정말 그래요. 하지만 나는 좋은 마녀이고, 사람들이 나를 좋아하죠. 난 여기를 다스리던 악한 마녀만큼 강하지 못해요. 만약 그랬다면 내가 이 사람들을 자유롭게 해주었겠지만.”","""Yes, indeed;"" answered the little woman. ""But I am a good witch, and the people love me. I am not as powerful as the wicked Witch was who ruled here, or I should have set the people free myself."""
fantasy,"도로시는 진짜 마녀를 마주 대하고 있다는 것에 반쯤 두려워하면서 말했다.
“하지만 저는 모든 마녀들은 사악하다고 생각했어요.”","""But I thought all witches were wicked,"" said the girl, who was half frightened at facing a real witch."
fantasy,"“오, 아니에요. 그건 정말 큰 오해입니다. 오즈에는 오직 4명의 마녀가 있는데, 남쪽과 북쪽에 사는 2명은 모두 착한 마녀에요. 내가 바로 그 중 하나이기 때문에 이건 사실이에요. 동쪽과 서쪽에 살고 있는 두 마녀는 정말 사악한 마녀들이죠. 하지만 지금 당신이 그들 중 하나를 죽였으니 이제 오즈에 나쁜 마녀는 서쪽에 사는 마녀뿐이네요.”","""Oh, no; that is a great mistake. There were only four witches in all the Land of Oz, and two of them, those who live in the North and the South, are good witches. I know this is true, for I am one of them myself, and cannot be mistaken. Those who dwelt in the East and the West were, indeed, wicked witches; but now that you have killed one of them, there is but one wicked Witch in all the Land of Oz—the one who lives in the West."""
fantasy,"도로시가 잠깐 생각한 후에 말했다.
“그런데 엠 아줌마는 나에게 마녀들은 아주 오래전에 모두 죽었다고 했어요.”","""But,"" said Dorothy, after a moment's thought, ""Aunt Em has told me that the witches were all dead—years and years ago."""
fantasy,"그 작은 여인이 물었다.
“엠 아줌마가 누구죠?”","""Who is Aunt Em?"" inquired the little old woman."
fantasy,“내가 온 캔사스에 살고있는 내 숙모에요.”,"""She is my aunt who lives in Kansas, where I came from."""
fantasy,북쪽 마녀는 고개를 약간 숙이고 땅을 바라보면서 잠시 생각하는 것 같았다. 그리고는 곧 고개를 들고 말했다.,"The Witch of the North seemed to think for a time, with her head bowed and her eyes upon the ground. Then she looked up and said,"
fantasy,“난 이전에 한번도 들어본 적이 없어서 캔사스가 어디에 있는지 몰라요. 거기는 문명화된 곳인가요?”,"""I do not know where Kansas is, for I have never heard that country mentioned before. But tell me, is it a civilized country?"""
fantasy,"“예, 물론이죠.” 하고 도로시가 대답했다.","""Oh, yes;"" replied Dorothy."
fantasy,"“오, 그렇다면 이해가 되는군요. 문명화된 나라에는 마녀나 마법사, 마술사 등이 하나도 남아있지 않다고 알고 있어요. 하지만 당신이 보듯이 여기 오즈는 전혀 문명화되지 않았고, 다른 세계와 단절되어 있죠. 그래서 우리는 아직도 마녀와 마법사들이 있어요.”","""Then that accounts for it. In the civilized countries I believe there are no witches left; nor wizards, nor sorceresses, nor magicians. But, you see, the Land of Oz has never been civilized, for we are cut off from all the rest of the world. Therefore we still have witches and wizards amongst us."""
fantasy,"도로시가 물었다.
“마법사들은 누구죠?”","""Who are the Wizards?"" asked Dorothy."
fantasy,"“오즈가 바로 위대한 마법사에요.”
그 마녀는 속삭이듯이 소리를 낮춰 대답했다.
“그는 우리 모두를 합친 것보다 더 강력해요. 그는 에메랄드 시에 살고 있어요.”","""Oz himself is the Great Wizard,"" answered the Witch, sinking her voice to a whisper. ""He is more powerful than all the rest of us together. He lives in the City of Emeralds."""
fantasy,"도로시가 다른 질문을 더 하려고 하는데, 조용히 서 있던 먼치킨들이 갑자기 큰 소리를 지르며 나쁜 마녀가 누워있는 집 모퉁이를 가리켰다.","Dorothy was going to ask another question, but just then the Munchkins, who had been standing silently by, gave a loud shout and pointed to the corner of the house where the Wicked Witch had been lying."
fantasy,“이게 뭐야?” 하며 조그만 노파가 그곳을 쳐다보고는 웃기 시작했다. 죽은 마녀의 다리가 완전히 사라져서 은빛 구두 외에는 아무 것도 남지 않았다.,"""What is it?"" asked the little old woman; and looked, and began to laugh. The feet of the dead Witch had disappeared entirely and nothing was left but the silver shoes."
